# Energy (eV), Intensity, Lineshape
2.861610577013232515e+00,1.152770800335087199e-55,4.028398586429171590e-56
2.861657779111531408e+00,1.180223689473972975e-55,4.124265654995269609e-56
2.861704981209829857e+00,1.208327663044634248e-55,4.222404723682575806e-56
2.861752183308128750e+00,1.237098097948744333e-55,4.322869412538312479e-56
2.861799385406427199e+00,1.266550732713199470e-55,4.425714601700937431e-56
2.861846587504726092e+00,1.296701675960568852e-55,4.530996460894071451e-56
2.861893789603024540e+00,1.327567415072341138e-55,4.638772479591176316e-56
2.861940991701323433e+00,1.359164825058793679e-55,4.749101497899221126e-56
2.861988193799621882e+00,1.391511177631042810e-55,4.862043738145718618e-56
2.862035395897920775e+00,1.424624150489124262e-55,4.977660837217458005e-56
2.862082597996219224e+00,1.458521836821953809e-55,5.096015879636331159e-56
2.862129800094518117e+00,1.493222755033269505e-55,5.217173431421446195e-56
2.862177002192816566e+00,1.528745858689469922e-55,5.341199574723166164e-56
2.862224204291115459e+00,1.565110546704279594e-55,5.468161943281131225e-56
2.862271406389413908e+00,1.602336673755186953e-55,5.598129758688536905e-56
2.862318608487712801e+00,1.640444560948486564e-55,5.731173867521353773e-56
2.862365810586011250e+00,1.679455006726400662e-55,5.867366779309617509e-56
2.862413012684310143e+00,1.719389298034701431e-55,6.006782705415018575e-56
2.862460214782608592e+00,1.760269221743980317e-55,6.149497598790783985e-56
2.862507416880907485e+00,1.802117076343186649e-55,6.295589194688756845e-56
2.862554618979205934e+00,1.844955683899099332e-55,6.445137052291477287e-56
2.862601821077504827e+00,1.888808402300533340e-55,6.598222597334797126e-56
2.862649023175803276e+00,1.933699137781362254e-55,6.754929165700269907e-56
2.862696225274102169e+00,1.979652357741140467e-55,6.915342048042800673e-56
2.862743427372400618e+00,2.026693103857831901e-55,7.079548535434255084e-56
2.862790629470699511e+00,2.074847005512357262e-55,7.247637966091760492e-56
2.862837831568998403e+00,2.124140293518879867e-55,7.419701773169351125e-56
2.862885033667296852e+00,2.174599814179066345e-55,7.595833533676511918e-56
2.862932235765595745e+00,2.226253043663470715e-55,7.776129018534501426e-56
2.862979437863894194e+00,2.279128102722458247e-55,7.960686243778771435e-56
2.863026639962193087e+00,2.333253771746819433e-55,8.149605522977706444e-56
2.863073842060491536e+00,2.388659506170495576e-55,8.342989520841102801e-56
2.863121044158790429e+00,2.445375452239668157e-55,8.540943308102924956e-56
2.863168246257088878e+00,2.503432463140441158e-55,8.743574417651087592e-56
2.863215448355387771e+00,2.562862115509601419e-55,8.950992901989588948e-56
2.863262650453686220e+00,2.623696726320722042e-55,9.163311392005881730e-56
2.863309852551985113e+00,2.685969370171805483e-55,9.380645157134771008e-56
