,d_perp_top,d_perp_bottom,slip_top,slip_bottom,slip_top_x,slip_top_y,slip_bottom_x,slip_bottom_y,tilt_top,tilt_bottom,twist_top,twist_bottom
sandwich,-0.12598672546687473,-0.18769960339076563,0.2011191405032492,-0.6234453392538721,0.28346521142343173,-0.11055107767477307,2.3547603822783216,-1.2707225661203818,0.10033029257859305,4.0346704961858615,-6.6264199841681375,-9.257027422005017
zigzag,-0.007282757292028652,-0.08889352972532016,-0.08403732843325284,-0.03135772236939194,-0.02646417688485958,-0.6745466043196957,3.201478151213983,-0.015641623177291397,0.7995393499302227,-1.9968070818569197,110.79838337327166,-111.58649087073579
