,COMdist_top_middle,COMdist_bottom_middle,COMdist_top_bottom,central_angle_COMs
unattached,3.422607854829406,3.3286974739813737,6.595321854929019,155.3171411430219
sandwich,3.239599818535662,3.2642673042633,6.488355831621819,172.0841920087198
zigzag,3.4114937960794585,3.220443149028534,6.597079370757669,168.24108273712994
