,d_perp_top,d_perp_bottom,slip_top,slip_bottom,slip_top_x,slip_top_y,slip_bottom_x,slip_bottom_y,tilt_top,tilt_bottom,twist_top,twist_bottom
unattached,3.2385379665673315,3.3228089968421286,1.2161807601531005,0.2776537630669124,1.006312406279577,-0.6829575260104986,0.2763976156550877,0.02638124722979496,2.3547012964236296,0.735428320032914,140.02133861736428,36.76794822305092
sandwich,3.255825094041833,3.2585821804670543,0.26109770974275276,0.32365828519411105,0.0410686780783733,-0.25784758620899617,-0.3075560575738688,-0.10081645215147989,1.361610368086061,2.912390692818245,-32.640505953079675,32.96121351462919
zigzag,3.3277870904502294,3.24507737159447,0.7851956048027025,0.16037035638459865,-0.683020013446828,-0.3873187305470478,0.1484842584854241,-0.060589406573731526,3.093974163069876,0.8548311842967516,-142.63317375883778,-31.732069110828544
