,d_perp_top,d_perp_bottom,slip_top,slip_bottom,slip_top_x,slip_top_y,slip_bottom_x,slip_bottom_y,tilt_top,tilt_bottom,twist_top,twist_bottom,COMdist_top_middle,COMdist_bottom_middle,COMdist_top_bottom,central_angle_COMs
unattached,3.434029888569887,3.501701635177922,0.6611264831670913,1.6908267770606822,0.5308252831484632,0.39409738075156003,-1.6147346388045534,0.5015249109168383,0.7761184804785143,3.2613003865001042,-144.7467488802197,-34.42144350353191,3.495736343779012,3.9047056492615906,7.2765930231006655,158.973632194559
sandwich,3.308043163103012,3.3140020317871564,0.8622456236703405,1.06738143780681,0.814290494571895,0.28354630307678697,0.7400257434737685,-0.7691976552035436,0.8764487730571073,7.295970882685966,-151.37316886438785,-43.67847092553693,3.421818594004279,3.4606398507746445,6.686801862912159,152.610483823306
zigzag,3.426747131277858,3.412808105452602,0.5770891547338385,1.6594690546912902,0.5043611062636036,-0.2804492235681357,1.5867435124094296,0.48588328773954687,1.575657830408737,1.2644933046431845,-33.94836550694806,-146.0079343742677,3.484218101143554,3.782690020889688,6.962869535873003,146.70642835911252
