,d_perp_top,d_perp_bottom,slip_top,slip_bottom,slip_top_x,slip_top_y,slip_bottom_x,slip_bottom_y,tilt_top,tilt_bottom,twist_top,twist_bottom
sandwich,0.017287127474501673,-0.06422681637507432,-0.9550830504103478,0.04600452212719863,-0.9652437282012036,0.42510993980150247,-0.5839536732289565,-0.12719769938127484,-0.9930909283375686,2.1769623727853307,-172.66184457044395,-3.806734708421729
zigzag,0.08924912388289785,-0.07773162524765853,-0.43098515535039805,-0.11728340668231377,-1.689332419726405,0.29563879546345084,-0.1279133571696636,-0.08697065380352649,0.7392728666462465,0.11940286426383762,-282.6545123762021,-68.50001733387947
