,COMdist_top_middle,COMdist_bottom_middle,COMdist_top_bottom,central_angle_COMs
unattached,3.495736343779012,3.9047056492615906,7.2765930231006655,158.973632194559
sandwich,3.421818594004279,3.4606398507746445,6.686801862912159,152.610483823306
zigzag,3.484218101143554,3.782690020889688,6.962869535873003,146.70642835911252
